source_file,main_player,player_color,opponent,event,site,date,year,round,white,black,white_elo,black_elo,result,result_label,player_result,eco,opening,num_plies,num_moves,captures,checks,castles,promotions,white_castled,black_castled,player_captures,player_checks,player_castled,player_promotions,opponent_captures,opponent_checks
Karpov.pgn,Karpov,white,"Ponomariov, Boris",Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly","Ponomariov, Boris",,,1-0,white_win,win,C01,,157,78.5,24,7,2,0,True,True,13,2,True,0,11,5
Karpov.pgn,Karpov,white,"Alekseev, V.",Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly","Alekseev, V.",,,1/2-1/2,draw,draw,B40,,115,57.5,20,8,2,0,True,True,10,4,True,0,10,4
Karpov.pgn,Karpov,white,Budakov,Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly",Budakov,,,1/2-1/2,draw,draw,C99,,51,25.5,12,1,2,0,True,True,6,0,True,0,6,1
Karpov.pgn,Karpov,white,Gaimaletdinov,Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly",Gaimaletdinov,,,1-0,white_win,win,C62,,119,59.5,24,6,2,0,True,True,12,3,True,0,12,3
Karpov.pgn,Karpov,white,"Kalashnikov, Viacheslav",Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly","Kalashnikov, Viacheslav",,,1-0,white_win,win,C68,,119,59.5,25,9,1,0,True,False,13,8,True,0,12,1
Karpov.pgn,Karpov,white,Mukhudulin,Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly",Mukhudulin,,,1/2-1/2,draw,draw,B56,,122,61.0,26,16,2,0,True,True,13,13,True,0,13,3
Karpov.pgn,Karpov,white,Shefler,Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly",Shefler,,,1-0,white_win,win,C01,,85,42.5,13,3,2,0,True,True,7,3,True,0,6,0
Karpov.pgn,Karpov,black,"Kalashnikov, Viacheslav",Zlatoust,Zlatoust,1961.??.??,1961,?,"Kalashnikov, Viacheslav","Karpov, Anatoly",,,1/2-1/2,draw,draw,A30,,123,61.5,27,14,1,0,True,False,13,5,False,0,14,9
Karpov.pgn,Karpov,white,Zyulyarkin,Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly",Zyulyarkin,,,1-0,white_win,win,B24,,69,34.5,13,0,2,0,True,True,7,0,True,0,6,0
Karpov.pgn,Karpov,black,"Tarinin, X.",Zlatoust,Zlatoust,1961.??.??,1961,?,"Tarinin, X.","Karpov, Anatoly",,,1-0,white_win,loss,C97,,69,34.5,12,8,2,0,True,True,5,0,True,0,7,8
Karpov.pgn,Karpov,black,Zadneprovsky,Zlatoust,Zlatoust,1961.??.??,1961,?,Zadneprovsky,"Karpov, Anatoly",,,0-1,black_win,win,E27,,130,65.0,20,13,2,0,True,True,12,2,True,0,8,11
