source_file,main_player,player_color,opponent,event,site,date,year,round,white,black,white_elo,black_elo,result,result_label,player_result,eco,opening,num_plies,num_moves,captures,checks,castles,promotions,white_castled,black_castled,player_captures,player_checks,player_castled,player_promotions,opponent_captures,opponent_checks,style
Kasparov.pgn,Kasparov,black,"Chandler, Murray G",Wch U16,Wattignies,1976.08.27,1976,?,"Chandler, Murray G","Kasparov, Gary",,,1-0,white_win,loss,B22,,82,41.0,14,5,2,0,True,True,7,1,True,0,7,4,dynamic
Kasparov.pgn,Kasparov,white,"Galle, Andre",Wch U16,Wattignies,1976.??.??,1976,?,"Kasparov, Gary","Galle, Andre",,,1-0,white_win,win,C11,,75,37.5,24,4,1,0,True,False,12,3,True,0,12,1,dynamic
Kasparov.pgn,Kasparov,white,"Grinberg, Nir",Wch U16,Wattignies,1976.??.??,1976,?,"Kasparov, Gary","Grinberg, Nir",,,1/2-1/2,draw,draw,B45,,33,16.5,10,1,2,0,True,True,5,0,True,0,5,1,dynamic
Kasparov.pgn,Kasparov,black,"Roos, Louis",Wch U16,Wattignies,1976.??.??,1976,?,"Roos, Louis","Kasparov, Gary",,,0-1,black_win,win,B50,,50,25.0,6,1,2,0,True,True,3,1,True,0,3,0,dynamic
Kasparov.pgn,Kasparov,black,"Van der Wiel, John TH",Wch U16,Wattignies,1976.??.??,1976,?,"Van der Wiel, John TH","Kasparov, Gary",,,1-0,white_win,loss,B93,,83,41.5,13,3,2,0,True,True,6,2,True,0,7,1,dynamic
Kasparov.pgn,Kasparov,black,"Dunne, David Joseph",Wch U16,Wattignies,1976.??.??,1976,?,"Dunne, David Joseph","Kasparov, Gary",,,0-1,black_win,win,B51,,114,57.0,27,5,2,0,True,True,14,3,True,0,13,2,dynamic
Kasparov.pgn,Kasparov,white,"Rogers, Ian",Wch U16,Wattignies,1976.??.??,1976,?,"Kasparov, Gary","Rogers, Ian",,1865.0,1-0,white_win,win,B33,,67,33.5,16,2,2,0,True,True,9,2,True,0,7,0,dynamic
Kasparov.pgn,Kasparov,white,"Cramling, Pia",Wch U16,Wattignies,1976.??.??,1976,?,"Kasparov, Gary","Cramling, Pia",,,1/2-1/2,draw,draw,C42,,37,18.5,7,1,2,0,True,True,4,0,True,0,3,1,dynamic
Kasparov.pgn,Kasparov,white,"Sendur, Adnan",Wch U16,Wattignies,1976.??.??,1976,?,"Kasparov, Gary","Sendur, Adnan",,,1-0,white_win,win,B08,,43,21.5,12,1,2,0,True,True,6,0,True,0,6,1,dynamic
Kasparov.pgn,Kasparov,white,"West, Guy",Telechess ol1 7778,telex,1977.??.??,1977,?,"Kasparov, Gary","West, Guy",,,1-0,white_win,win,B40,,23,11.5,5,1,0,0,False,False,3,1,False,0,2,0,dynamic
Kasparov.pgn,Kasparov,black,"Tseshkovsky, Vitaly",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Tseshkovsky, Vitaly","Kasparov, Gary",2570.0,2200.0,1/2-1/2,draw,draw,B19,,28,14.0,4,2,0,0,False,False,2,2,False,0,2,0,dynamic
Kasparov.pgn,Kasparov,white,"Panchenko, Alexander N",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Kasparov, Gary","Panchenko, Alexander N",2200.0,2495.0,1-0,white_win,win,B67,,69,34.5,18,3,1,0,True,False,9,1,True,0,9,2,dynamic
Kasparov.pgn,Kasparov,white,"Palatnik, Semon",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Kasparov, Gary","Palatnik, Semon",,2490.0,1-0,white_win,win,B04,,73,36.5,15,7,2,0,True,True,9,7,True,0,6,0,dynamic
Kasparov.pgn,Kasparov,white,"Lputian, Smbat G",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Kasparov, Gary","Lputian, Smbat G",2200.0,2200.0,1-0,white_win,win,D37,,55,27.5,10,0,2,0,True,True,6,0,True,0,4,0,dynamic
Kasparov.pgn,Kasparov,white,"Kupreichik, Viktor D",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Kasparov, Gary","Kupreichik, Viktor D",2200.0,2200.0,1/2-1/2,draw,draw,C61,,42,21.0,10,0,2,0,True,True,5,0,True,0,5,0,dynamic
Kasparov.pgn,Kasparov,black,"Tseitlin, Mark D",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Tseitlin, Mark D","Kasparov, Gary",2480.0,2200.0,0-1,black_win,win,B13,,106,53.0,20,19,1,0,True,False,11,14,False,0,9,5,dynamic
Kasparov.pgn,Kasparov,white,"Korsunsky, Rostislav R",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Kasparov, Gary","Korsunsky, Rostislav R",2200.0,2200.0,1-0,white_win,win,B85,,103,51.5,26,7,2,0,True,True,14,5,True,0,12,2,dynamic
Kasparov.pgn,Kasparov,white,"Ivanov, Igor V",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Kasparov, Gary","Ivanov, Igor V",,2415.0,1/2-1/2,draw,draw,B38,,79,39.5,19,2,2,0,True,True,9,2,True,0,10,0,dynamic
Kasparov.pgn,Kasparov,black,"Kapengut, Albert Z",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Kapengut, Albert Z","Kasparov, Gary",2465.0,2200.0,1/2-1/2,draw,draw,B19,,74,37.0,13,0,1,0,False,True,6,0,True,0,7,0,dynamic
Kasparov.pgn,Kasparov,black,"Alburt, Lev O",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Alburt, Lev O","Kasparov, Gary",2510.0,2200.0,0-1,black_win,win,E74,,112,56.0,27,6,2,0,True,True,14,6,True,0,13,0,dynamic
Kasparov.pgn,Kasparov,black,"Kholmov, Ratmir D",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Kholmov, Ratmir D","Kasparov, Gary",2540.0,2200.0,1-0,white_win,loss,B18,,129,64.5,23,5,2,0,True,True,11,3,True,0,12,2,dynamic
Kasparov.pgn,Kasparov,black,"Nikolaevsky, Yuri V",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Nikolaevsky, Yuri V","Kasparov, Gary",2200.0,2200.0,1/2-1/2,draw,draw,E60,,61,30.5,10,2,2,0,True,True,5,2,True,0,5,0,dynamic
Kasparov.pgn,Kasparov,black,"Mikhalchishin, Adrian",URS-ch sf,Daugavpils,1978.??.??,1978,?,"Mikhalchishin, Adrian","Kasparov, Gary",2460.0,2200.0,1/2-1/2,draw,draw,B19,,34,17.0,8,0,1,0,True,False,4,0,False,0,4,0,dynamic
Kasparov.pgn,Kasparov,white,"Lutikov, Anatoly S",Minsk,Minsk,1978.??.??,1978,?,"Kasparov, Gary","Lutikov, Anatoly S",,2540.0,1-0,white_win,win,A41,,113,56.5,22,5,1,0,True,False,11,5,True,0,11,0,dynamic
Kasparov.pgn,Kasparov,white,"Butnorius, Algimantas",Moscow,Moscow,1978.??.??,1978,?,"Kasparov, Gary","Butnorius, Algimantas",,,1-0,white_win,win,E14,,81,40.5,17,7,2,1,True,True,9,3,True,1,8,4,dynamic
Kasparov.pgn,Kasparov,black,"Tukmakov, Vladimir B",URS-ch46,Tbilisi,1978.??.??,1978,?,"Tukmakov, Vladimir B","Kasparov, Gary",2570.0,,1/2-1/2,draw,draw,E91,,41,20.5,10,2,2,0,True,True,5,1,True,0,5,1,dynamic
Kasparov.pgn,Kasparov,black,"Tseshkovsky, Vitaly",URS-ch46,Tbilisi,1978.??.??,1978,?,"Tseshkovsky, Vitaly","Kasparov, Gary",2550.0,,1-0,white_win,loss,B19,,101,50.5,21,10,2,0,True,True,9,1,True,0,12,9,dynamic
Kasparov.pgn,Kasparov,black,"Geller, Efim P",URS-ch46,Tbilisi,1978.??.??,1978,?,"Geller, Efim P","Kasparov, Gary",2590.0,,1/2-1/2,draw,draw,B19,,83,41.5,18,3,2,0,True,True,9,2,True,0,9,1,dynamic
Kasparov.pgn,Kasparov,black,"Timoshchenko, Gennadi A",URS-ch46,Tbilisi,1978.??.??,1978,?,"Timoshchenko, Gennadi A","Kasparov, Gary",2530.0,,1-0,white_win,loss,B22,,81,40.5,15,8,2,0,True,True,7,2,True,0,8,6,dynamic
Kasparov.pgn,Kasparov,black,"Gulko, Boris F",URS-ch46,Tbilisi,1978.??.??,1978,?,"Gulko, Boris F","Kasparov, Gary",2565.0,,1/2-1/2,draw,draw,A07,,114,57.0,19,5,2,0,True,True,10,3,True,0,9,2,dynamic
Kasparov.pgn,Kasparov,white,"Bagirov, Vladimir",URS-ch46,Tbilisi,1978.??.??,1978,?,"Kasparov, Gary","Bagirov, Vladimir",,2505.0,1/2-1/2,draw,draw,B17,,60,30.0,12,1,2,0,True,True,6,1,True,0,6,0,dynamic
Kasparov.pgn,Kasparov,white,"Beliavsky, Alexander G",URS-ch46,Tbilisi,1978.??.??,1978,?,"Kasparov, Gary","Beliavsky, Alexander G",,2530.0,1-0,white_win,win,D58,,83,41.5,20,1,2,0,True,True,10,1,True,0,10,0,dynamic
Kasparov.pgn,Kasparov,white,"Dorfman, Josif D",URS-ch46,Tbilisi,1978.??.??,1978,?,"Kasparov, Gary","Dorfman, Josif D",,2550.0,1-0,white_win,win,C92,,77,38.5,18,2,2,0,True,True,10,2,True,0,8,0,dynamic
Kasparov.pgn,Kasparov,white,"Giorgadze, Tamaz",URS-ch46,Tbilisi,1978.??.??,1978,?,"Kasparov, Gary","Giorgadze, Tamaz",,2535.0,1/2-1/2,draw,draw,D61,,44,22.0,10,0,2,0,True,True,5,0,True,0,5,0,dynamic
Kasparov.pgn,Kasparov,white,"Kuzmin, Gennadi P",URS-ch46,Tbilisi,1978.??.??,1978,?,"Kasparov, Gary","Kuzmin, Gennadi P",,2560.0,1-0,white_win,win,C97,,83,41.5,14,1,2,0,True,True,8,1,True,0,6,0,dynamic
Kasparov.pgn,Kasparov,white,"Polugaevsky, Lev",URS-ch46,Tbilisi,1978.??.??,1978,?,"Kasparov, Gary","Polugaevsky, Lev",,2620.0,1-0,white_win,win,B43,,91,45.5,19,8,1,0,True,False,10,7,True,0,9,1,dynamic
Kasparov.pgn,Kasparov,white,"Romanishin, Oleg M",URS-ch46,Tbilisi,1978.??.??,1978,?,"Kasparov, Gary","Romanishin, Oleg M",,2610.0,1/2-1/2,draw,draw,A28,,77,38.5,17,3,1,0,False,True,8,0,False,0,9,3,dynamic
Kasparov.pgn,Kasparov,white,"Tal, Mihail",URS-ch46,Tbilisi,1978.??.??,1978,?,"Kasparov, Gary","Tal, Mihail",,2625.0,1/2-1/2,draw,draw,C69,,34,17.0,12,0,2,0,True,True,6,0,True,0,6,0,dynamic
