source_file,main_player,style,player_color,opponent,event,site,date,year,round,white,black,white_elo,black_elo,result,result_label,player_result,eco,eco_family,num_plies,num_moves,opening_plies,opening_player_captures,opening_player_checks,opening_player_castles,opening_player_promotions,opening_opponent_captures,opening_opponent_checks,middlegame_plies,middlegame_player_captures,middlegame_player_checks,middlegame_player_castles,middlegame_player_promotions,middlegame_opponent_captures,middlegame_opponent_checks,endgame_plies,endgame_player_captures,endgame_player_checks,endgame_player_castles,endgame_player_promotions,endgame_opponent_captures,endgame_opponent_checks
Karpov.pgn,Karpov,positional,white,"Ponomariov, Boris",Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly","Ponomariov, Boris",,,1-0,white_win,win,C01,C,157,78.5,20,1,0,1,0,1,0,40,5,0,0,0,4,0,97,7,2,0,0,6,5
Karpov.pgn,Karpov,positional,white,"Alekseev, V.",Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly","Alekseev, V.",,,1/2-1/2,draw,draw,B40,B,115,57.5,20,3,2,1,0,3,0,40,4,1,0,0,4,0,55,3,1,0,0,3,4
Karpov.pgn,Karpov,positional,white,Budakov,Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly",Budakov,,,1/2-1/2,draw,draw,C99,C,51,25.5,20,0,0,1,0,0,0,31,6,0,0,0,6,1,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,white,Gaimaletdinov,Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly",Gaimaletdinov,,,1-0,white_win,win,C62,C,119,59.5,20,2,1,1,0,1,0,40,3,1,0,0,4,0,59,7,1,0,0,7,3
Karpov.pgn,Karpov,positional,white,"Kalashnikov, Viacheslav",Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly","Kalashnikov, Viacheslav",,,1-0,white_win,win,C68,C,119,59.5,20,2,0,0,0,2,0,40,7,4,1,0,7,0,59,4,4,0,0,3,1
Karpov.pgn,Karpov,positional,white,Mukhudulin,Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly",Mukhudulin,,,1/2-1/2,draw,draw,B56,B,122,61.0,20,1,0,0,0,1,0,40,6,3,1,0,7,0,62,6,10,0,0,5,3
Karpov.pgn,Karpov,positional,white,Shefler,Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly",Shefler,,,1-0,white_win,win,C01,C,85,42.5,20,1,0,1,0,1,0,40,3,0,0,0,3,0,25,3,3,0,0,2,0
Karpov.pgn,Karpov,positional,black,"Kalashnikov, Viacheslav",Zlatoust,Zlatoust,1961.??.??,1961,?,"Kalashnikov, Viacheslav","Karpov, Anatoly",,,1/2-1/2,draw,draw,A30,A,123,61.5,20,2,0,0,0,2,1,40,6,0,0,0,6,2,63,5,5,0,0,6,6
Karpov.pgn,Karpov,positional,white,Zyulyarkin,Zlatoust,Zlatoust,1961.??.??,1961,?,"Karpov, Anatoly",Zyulyarkin,,,1-0,white_win,win,B24,B,69,34.5,20,0,0,1,0,0,0,40,6,0,0,0,6,0,9,1,0,0,0,0,0
Karpov.pgn,Karpov,positional,black,"Tarinin, X.",Zlatoust,Zlatoust,1961.??.??,1961,?,"Tarinin, X.","Karpov, Anatoly",,,1-0,white_win,loss,C97,C,69,34.5,20,0,0,1,0,0,0,40,4,0,0,0,5,8,9,1,0,0,0,2,0
Karpov.pgn,Karpov,positional,black,Zadneprovsky,Zlatoust,Zlatoust,1961.??.??,1961,?,Zadneprovsky,"Karpov, Anatoly",,,0-1,black_win,win,E27,E,130,65.0,20,1,1,1,0,1,0,40,6,0,0,0,4,1,70,5,1,0,0,3,10
Karpov.pgn,Karpov,positional,black,"Kirillov, Vladimir Grigorevic",Zlatoust,Zlatoust,1962.??.??,1962,?,"Kirillov, Vladimir Grigorevic","Karpov, Anatoly",,,0-1,black_win,win,A21,A,126,63.0,20,0,0,1,0,0,0,40,5,0,0,0,5,2,66,7,6,0,0,7,10
Karpov.pgn,Karpov,positional,black,Kolishkin,Zlatoust,Zlatoust,1962.??.??,1962,?,Kolishkin,"Karpov, Anatoly",,,0-1,black_win,win,C98,C,108,54.0,20,0,0,1,0,0,0,40,5,0,0,0,5,0,48,5,0,0,0,3,0
Karpov.pgn,Karpov,positional,black,"Ziuliarkin, X.",Zlatoust,Zlatoust,1962.??.??,1962,?,"Ziuliarkin, X.","Karpov, Anatoly",,,0-1,black_win,win,C50,C,70,35.0,20,3,0,1,0,3,0,40,4,0,0,0,3,0,10,3,0,0,0,1,0
Karpov.pgn,Karpov,positional,black,"Kalashnikov, Viacheslav",Zlatoust,Zlatoust,1962.??.??,1962,?,"Kalashnikov, Viacheslav","Karpov, Anatoly",,,1/2-1/2,draw,draw,C97,C,72,36.0,20,0,0,1,0,0,0,40,5,0,0,0,5,0,12,2,0,0,0,2,1
Karpov.pgn,Karpov,positional,white,Piskunov,Zlatoust,Zlatoust,1962.??.??,1962,?,"Karpov, Anatoly",Piskunov,,,1-0,white_win,win,B03,B,69,34.5,20,1,0,0,0,1,0,40,3,0,1,0,3,0,9,1,0,0,0,1,0
Karpov.pgn,Karpov,positional,black,"Kalashnikov, Viacheslav",Zlatoust,Zlatoust,1963.??.??,1963,?,"Kalashnikov, Viacheslav","Karpov, Anatoly",,,0-1,black_win,win,C44,C,84,42.0,20,1,0,1,0,1,0,40,5,0,0,0,6,0,24,3,0,0,0,2,1
Karpov.pgn,Karpov,positional,black,"Korotaev, A.",Zlatoust,Zlatoust,1963.??.??,1963,?,"Korotaev, A.","Karpov, Anatoly",,,0-1,black_win,win,E14,E,84,42.0,20,2,0,1,0,2,0,40,3,0,0,0,1,0,24,2,0,0,0,1,0
Karpov.pgn,Karpov,positional,black,"Ziuliarkin, X.",Zlatoust,Zlatoust,1963.??.??,1963,?,"Ziuliarkin, X.","Karpov, Anatoly",,,0-1,black_win,win,D61,D,102,51.0,20,1,0,1,0,1,0,40,6,2,0,0,6,0,42,7,5,0,0,6,0
Karpov.pgn,Karpov,positional,black,"Ravinsky, Grigory Ionovich",Leningrad,Leningrad,1966.??.??,1966,?,"Ravinsky, Grigory Ionovich","Karpov, Anatoly",,,1/2-1/2,draw,draw,C62,C,38,19.0,20,2,0,0,0,1,0,18,3,0,1,0,3,0,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,black,"Ciric, Dragoljub M",EU-ch casual,Groningen,1967.??.??,1967,?,"Ciric, Dragoljub M","Karpov, Anatoly",,,1/2-1/2,draw,draw,C92,C,64,32.0,20,0,0,1,0,0,0,40,4,0,0,0,4,0,4,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,black,"Zara, Dan",EU-ch U18 f-A 6768,Groningen,1967.??.??,1967,1,"Zara, Dan","Karpov, Anatoly",,,1/2-1/2,draw,draw,E18,E,69,34.5,20,2,0,1,0,2,0,40,5,0,0,0,8,0,9,1,0,0,0,1,0
Karpov.pgn,Karpov,positional,white,"Schaufelberger, Heinz",EU-ch U18 sf 6768,Groningen,1967.??.??,1967,1,"Karpov, Anatoly","Schaufelberger, Heinz",,,1-0,white_win,win,B25,B,59,29.5,20,0,0,1,0,0,0,39,9,1,0,0,7,0,0,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,white,"Moles, John",EU-ch U18 f-A 6768,Groningen,1967.??.??,1967,2,"Karpov, Anatoly","Moles, John",,,1-0,white_win,win,C77,C,81,40.5,20,0,0,1,0,0,0,40,5,0,0,0,6,1,21,2,0,0,1,3,0
Karpov.pgn,Karpov,positional,white,"Maeder, Karl Heinz",EU-ch U18 sf 6768,Groningen,1967.??.??,1967,2,"Karpov, Anatoly","Maeder, Karl Heinz",,,1-0,white_win,win,B25,B,61,30.5,20,0,0,1,0,0,0,40,6,0,0,0,5,0,1,0,0,0,0,0,0
Karpov.pgn,Karpov,positional,black,"Lewi, Jerzy",EU-ch U18 f-A 6768,Groningen,1967.??.??,1967,3,"Lewi, Jerzy","Karpov, Anatoly",,,0-1,black_win,win,A21,A,108,54.0,20,3,0,0,0,3,2,40,6,0,0,0,5,0,48,2,2,0,0,2,4
Karpov.pgn,Karpov,positional,black,"Adorjan, Andras",EU-ch U18 sf 6768,Groningen,1967.??.??,1967,3,"Adorjan, Andras","Karpov, Anatoly",,,1/2-1/2,draw,draw,C68,C,20,10.0,20,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
