source_file,main_player,player_color,opponent,event,site,date,year,round,white,black,white_elo,black_elo,result,result_label,player_result,eco,opening,num_plies,num_moves,captures,checks,castles,promotions,white_castled,black_castled,player_captures,player_checks,player_castled,player_promotions,opponent_captures,opponent_checks,style
Petrosian.pgn,Petrosian,black,"Sereda, Viktor",Tbilisi,Tbilisi,1945.??.??,1945,?,"Sereda, Viktor","Petrosian, Tigran V",,,0-1,black_win,win,E60,,114,57.0,20,2,2,0,True,True,10,1,True,0,10,1,defensive
Petrosian.pgn,Petrosian,white,"Buslaev, Aleksander",Tbilisi,Tbilisi,1945.??.??,1945,?,"Petrosian, Tigran V","Buslaev, Aleksander",,,1-0,white_win,win,E16,,75,37.5,21,4,2,0,True,True,12,2,True,0,9,2,defensive
Petrosian.pgn,Petrosian,white,"Kasparian, Genrikh",Tbilisi,Tbilisi,1945.??.??,1945,?,"Petrosian, Tigran V","Kasparian, Genrikh",,,1-0,white_win,win,D90,,91,45.5,24,4,2,0,True,True,13,1,True,0,11,3,defensive
Petrosian.pgn,Petrosian,black,Agamalian,Tbilisi,Tbilisi,1945.??.??,1945,?,Agamalian,"Petrosian, Tigran V",,,0-1,black_win,win,A53,,68,34.0,19,3,1,0,True,False,11,1,False,0,8,2,defensive
Petrosian.pgn,Petrosian,black,Agamalian,Tbilisi,Tbilisi,1945.??.??,1945,?,Agamalian,"Petrosian, Tigran V",,,1-0,white_win,loss,D02,,81,40.5,14,1,2,0,True,True,7,0,True,0,7,1,defensive
Petrosian.pgn,Petrosian,black,"Blagidze, Alexander",Tbilisi,Tbilisi,1945.??.??,1945,?,"Blagidze, Alexander","Petrosian, Tigran V",,,1/2-1/2,draw,draw,E33,,80,40.0,18,0,2,0,True,True,10,0,True,0,8,0,defensive
Petrosian.pgn,Petrosian,black,"Buslaev, Aleksander",Tbilisi,Tbilisi,1945.??.??,1945,?,"Buslaev, Aleksander","Petrosian, Tigran V",,,1/2-1/2,draw,draw,E68,,108,54.0,22,10,2,0,True,True,10,5,True,0,12,5,defensive
Petrosian.pgn,Petrosian,black,Gabuniya,Tbilisi,Tbilisi,1945.??.??,1945,?,Gabuniya,"Petrosian, Tigran V",,,0-1,black_win,win,B70,,110,55.0,26,5,2,0,True,True,14,3,True,0,12,2,defensive
Petrosian.pgn,Petrosian,black,"Grigoriev, Nikolay Dmitrievich",Tbilisi,Tbilisi,1945.??.??,1945,?,"Grigoriev, Nikolay Dmitrievich","Petrosian, Tigran V",,,0-1,black_win,win,B00,,52,26.0,13,2,1,0,False,True,7,2,True,0,6,0,defensive
Petrosian.pgn,Petrosian,black,"Grigoriev, Nikolay Dmitrievich",Tbilisi,Tbilisi,1945.??.??,1945,?,"Grigoriev, Nikolay Dmitrievich","Petrosian, Tigran V",,,0-1,black_win,win,E21,,82,41.0,21,4,2,0,True,True,11,3,True,0,10,1,defensive
Petrosian.pgn,Petrosian,black,Lolua,Tbilisi,Tbilisi,1945.??.??,1945,?,Lolua,"Petrosian, Tigran V",,,1/2-1/2,draw,draw,C34,,71,35.5,18,4,1,0,True,False,9,0,False,0,9,4,defensive
Petrosian.pgn,Petrosian,black,Nersesov,Tbilisi,Tbilisi,1945.??.??,1945,?,Nersesov,"Petrosian, Tigran V",,,0-1,black_win,win,E17,,48,24.0,13,2,1,0,False,True,6,2,True,0,7,0,defensive
Petrosian.pgn,Petrosian,black,Nersesov,Tbilisi,Tbilisi,1945.??.??,1945,?,Nersesov,"Petrosian, Tigran V",,,0-1,black_win,win,D13,,54,27.0,12,1,2,0,True,True,7,1,True,0,5,0,defensive
Petrosian.pgn,Petrosian,white,Arnshtein,Tbilisi,Tbilisi,1945.??.??,1945,?,"Petrosian, Tigran V",Arnshtein,,,1/2-1/2,draw,draw,D52,,61,30.5,14,0,2,0,True,True,7,0,True,0,7,0,defensive
