features,model,held_out_player,true_style,predicted_style,fraction,n_test,majority_prediction
flat,logistic_regression,Karpov,positional,defensive,0.4192,3519,defensive
flat,logistic_regression,Karpov,positional,dynamic,0.3353,3519,defensive
flat,logistic_regression,Karpov,positional,tactical,0.2455,3519,defensive
flat,logistic_regression,Kasparov,dynamic,tactical,0.4187,2123,tactical
flat,logistic_regression,Kasparov,dynamic,positional,0.3434,2123,tactical
flat,logistic_regression,Kasparov,dynamic,defensive,0.2379,2123,tactical
flat,logistic_regression,Petrosian,defensive,positional,0.4502,1877,positional
flat,logistic_regression,Petrosian,defensive,tactical,0.3964,1877,positional
flat,logistic_regression,Petrosian,defensive,dynamic,0.1534,1877,positional
flat,logistic_regression,Tal,tactical,dynamic,0.4394,2417,dynamic
flat,logistic_regression,Tal,tactical,defensive,0.3521,2417,dynamic
flat,logistic_regression,Tal,tactical,positional,0.2085,2417,dynamic
flat,random_forest,Karpov,positional,dynamic,0.3768,3519,dynamic
flat,random_forest,Karpov,positional,defensive,0.3603,3519,dynamic
flat,random_forest,Karpov,positional,tactical,0.2629,3519,dynamic
flat,random_forest,Kasparov,dynamic,tactical,0.4338,2123,tactical
flat,random_forest,Kasparov,dynamic,positional,0.3599,2123,tactical
flat,random_forest,Kasparov,dynamic,defensive,0.2063,2123,tactical
flat,random_forest,Petrosian,defensive,tactical,0.4438,1877,tactical
flat,random_forest,Petrosian,defensive,positional,0.3974,1877,tactical
flat,random_forest,Petrosian,defensive,dynamic,0.1588,1877,tactical
flat,random_forest,Tal,tactical,dynamic,0.475,2417,dynamic
flat,random_forest,Tal,tactical,defensive,0.307,2417,dynamic
flat,random_forest,Tal,tactical,positional,0.218,2417,dynamic
flat,xgboost,Karpov,positional,tactical,0.3595,3519,tactical
flat,xgboost,Karpov,positional,dynamic,0.3456,3519,tactical
flat,xgboost,Karpov,positional,defensive,0.295,3519,tactical
flat,xgboost,Kasparov,dynamic,positional,0.5855,2123,positional
flat,xgboost,Kasparov,dynamic,tactical,0.3231,2123,positional
flat,xgboost,Kasparov,dynamic,defensive,0.0914,2123,positional
flat,xgboost,Petrosian,defensive,positional,0.6356,1877,positional
flat,xgboost,Petrosian,defensive,tactical,0.2792,1877,positional
flat,xgboost,Petrosian,defensive,dynamic,0.0852,1877,positional
flat,xgboost,Tal,tactical,positional,0.6049,2417,positional
flat,xgboost,Tal,tactical,dynamic,0.2346,2417,positional
flat,xgboost,Tal,tactical,defensive,0.1605,2417,positional
