features,model,held_out_player,true_style,predicted_style,fraction,n_test,majority_prediction
temporal,random_forest,Karpov,positional,dynamic,0.3779,3519,dynamic
temporal,random_forest,Karpov,positional,defensive,0.347,3519,dynamic
temporal,random_forest,Karpov,positional,tactical,0.2751,3519,dynamic
temporal,random_forest,Kasparov,dynamic,positional,0.3834,2123,positional
temporal,random_forest,Kasparov,dynamic,tactical,0.3712,2123,positional
temporal,random_forest,Kasparov,dynamic,defensive,0.2454,2123,positional
temporal,random_forest,Petrosian,defensive,positional,0.3831,1877,positional
temporal,random_forest,Petrosian,defensive,tactical,0.3676,1877,positional
temporal,random_forest,Petrosian,defensive,dynamic,0.2493,1877,positional
temporal,random_forest,Tal,tactical,dynamic,0.422,2417,dynamic
temporal,random_forest,Tal,tactical,defensive,0.3227,2417,dynamic
temporal,random_forest,Tal,tactical,positional,0.2553,2417,dynamic
temporal,xgboost,Karpov,positional,tactical,0.3657,3519,tactical
temporal,xgboost,Karpov,positional,dynamic,0.3487,3519,tactical
temporal,xgboost,Karpov,positional,defensive,0.2856,3519,tactical
temporal,xgboost,Kasparov,dynamic,positional,0.5944,2123,positional
temporal,xgboost,Kasparov,dynamic,tactical,0.3208,2123,positional
temporal,xgboost,Kasparov,dynamic,defensive,0.0848,2123,positional
temporal,xgboost,Petrosian,defensive,positional,0.6489,1877,positional
temporal,xgboost,Petrosian,defensive,tactical,0.2658,1877,positional
temporal,xgboost,Petrosian,defensive,dynamic,0.0852,1877,positional
temporal,xgboost,Tal,tactical,positional,0.597,2417,positional
temporal,xgboost,Tal,tactical,dynamic,0.2594,2417,positional
temporal,xgboost,Tal,tactical,defensive,0.1436,2417,positional
